Phy,Name,EFN
Mycetosoritis_hartmanni,Mycetosoritis hartmanni,0
Mycocepurus_goeldii,Mycocepurus goeldii,0
Myopopone_castanea,Myopopone castanea,0
Myrcidris_epicharis,Myrcidris epicharis,0
Myrmecia_brevinoda,Myrmecia brevinoda,0
Myrmecia_croslandi,Myrmecia croslandi,0
Myrmecia_froggatti,Myrmecia froggatti,0
Myrmecia_fulvipes,Myrmecia fulvipes,0
Myrmecia_gulosa,Myrmecia gulosa,0
Myrmecia_michaelseni,Myrmecia michaelseni,0
Myrmecia_nigriscapa,Myrmecia nigriscapa,0
Myrmecia_nigrocincta,Myrmecia nigrocincta,0
Myrmecia_pilosula,Myrmecia pilosula,0
Myrmecia_tarsata,Myrmecia tarsata,0
Myrmecia_urens,Myrmecia urens,0
Myrmecia_varians,Myrmecia varians,0
Myrmecina_americana,Myrmecina americana,0
Myrmecina_graminicola,Myrmecina graminicola,0
Myrmecocystus_depilis,Myrmecocystus depilis,0
Myrmecocystus_flaviceps,Myrmecocystus flaviceps,0
Myrmecocystus_melliger,Myrmecocystus melliger,0
Myrmecocystus_mendax,Myrmecocystus mendax,0
Myrmecocystus_mexicanus,Myrmecocystus mexicanus,0
Myrmecocystus_mimicus,Myrmecocystus mimicus,1
Myrmelachista_flavocotea,Myrmelachista flavocotea,0
Myrmica_alaskensis,Myrmica alaskensis,0
Myrmica_aloba,Myrmica aloba,0
Myrmica_americana,Myrmica americana,0
Myrmica_anatolica,Myrmica anatolica,0
Myrmica_angulinodis,Myrmica angulinodis,0
Myrmica_arnoldii,Myrmica arnoldii,0
Myrmica_bergi,Myrmica bergi,0
Myrmica_brevispinosa,Myrmica brevispinosa,0
Myrmica_discontinua,Myrmica discontinua,0
Myrmica_eidmanni,Myrmica eidmanni,0
Myrmica_excelsa,Myrmica excelsa,0
Myrmica_forcipata,Myrmica forcipata,0
Myrmica_fracticornis,Myrmica fracticornis,0
Myrmica_hellenica,Myrmica hellenica,0
Myrmica_hirsuta,Myrmica hirsuta,0
Myrmica_incompleta,Myrmica incompleta,0
Myrmica_jessensis,Myrmica jessensis,0
Myrmica_karavajevi,Myrmica karavajevi,0
Myrmica_kasczenkoi,Myrmica kasczenkoi,0
Myrmica_kotokui,Myrmica kotokui,0
Myrmica_latifrons,Myrmica latifrons,0
Myrmica_laurae,Myrmica laurae,0
Myrmica_lobicornis,Myrmica lobicornis,0
Myrmica_lobifrons,Myrmica lobifrons,0
Myrmica_lobulicornis,Myrmica lobulicornis,0
Myrmica_luteola,Myrmica luteola,0
Myrmica_pisarskii,Myrmica pisarskii,0
Myrmica_punctiventris,Myrmica punctiventris,0
Myrmica_rubra,Myrmica rubra,1
Myrmica_ruginodis,Myrmica ruginodis,0
Myrmica_rugosa,Myrmica rugosa,0
Myrmica_rugulosa,Myrmica rugulosa,0
Myrmica_rupestris,Myrmica rupestris,0
Myrmica_sabuleti,Myrmica sabuleti,1
Myrmica_salina,Myrmica salina,0
Myrmica_saposhnikovi,Myrmica saposhnikovi,0
Myrmica_scabrinodis,Myrmica scabrinodis,0
Myrmica_schencki,Myrmica schencki,0
Myrmica_schoedli,Myrmica schoedli,0
Myrmica_specioides,Myrmica specioides,0
Myrmica_striolagaster,Myrmica striolagaster,0
Myrmica_sulcinodis,Myrmica sulcinodis,0
Myrmica_tahoensis,Myrmica tahoensis,0
Myrmica_transsibirica,Myrmica transsibirica,0
Myrmica_tulinae,Myrmica tulinae,0
Myrmica_vandeli,Myrmica vandeli,0
Myrmica_xavieri,Myrmica xavieri,0
Myrmicaria_brunnea,Myrmicaria brunnea,1
Myrmicocrypta_ednaella,Myrmicocrypta ednaella,0
Myrmoteras_iriodum,Myrmoteras iriodum,0
Mystrium_barrybressleri,Mystrium barrybressleri,0
Mystrium_camillae,Mystrium camillae,0
Mystrium_mysticum,Mystrium mysticum,0
Mystrium_oberthueri,Mystrium oberthueri,0
Mystrium_rogeri,Mystrium rogeri,0
Nebothriomyrmex_majeri,Nebothriomyrmex majeri,0
Neivamyrmex_halidaii,Neivamyrmex halidaii,0
Neivamyrmex_nigrescens,Neivamyrmex nigrescens,0
Neivamyrmex_opacithorax,Neivamyrmex opacithorax,0
Neivamyrmex_pilosus,Neivamyrmex pilosus,0
Neivamyrmex_swainsonii,Neivamyrmex swainsonii,0
Neoponera_apicalis,Neoponera apicalis,0
Neoponera_unidentata,Neoponera unidentata,0
Neoponera_villosa,Neoponera villosa,0
Nesomyrmex_echinatinodis,Nesomyrmex echinatinodis,0
Nomamyrmex_esenbeckii,Nomamyrmex esenbeckii,0
Nothomyrmecia_macrops,Nothomyrmecia macrops,0
Notoncus_capitatus,Notoncus capitatus,0
Notostigma_carazzii,Notostigma carazzii,0
Nylanderia_arenivaga,Nylanderia arenivaga,0
Nylanderia_bourbonica,Nylanderia bourbonica,0
Nylanderia_faisonensis,Nylanderia faisonensis,0
Nylanderia_fulva,Nylanderia fulva,0
Nylanderia_parvula,Nylanderia parvula,0
Nylanderia_pubens,Nylanderia pubens,0
Nylanderia_steinheili,Nylanderia steinheili,0
Nylanderia_terricola,Nylanderia terricola,0
Nylanderia_vaga,Nylanderia vaga,0
Ochetellus_glaber,Ochetellus glaber,0
Ochetomyrmex_neopolitus,Ochetomyrmex neopolitus,0
Ochetomyrmex_semipolitus,Ochetomyrmex semipolitus,0
Octostruma_iheringi,Octostruma iheringi,0
Octostruma_wheeleri,Octostruma wheeleri,0
Odontomachus_bauri,Odontomachus bauri,0
Odontomachus_brunneus,Odontomachus brunneus,1
Odontomachus_chelifer,Odontomachus chelifer,0
Odontomachus_clarus,Odontomachus clarus,0
Odontomachus_coquereli,Odontomachus coquereli,0
Odontomachus_erythrocephalus,Odontomachus erythrocephalus,0
Odontomachus_haematodus,Odontomachus haematodus,0
Odontomachus_hastatus,Odontomachus hastatus,1
Odontomachus_laticeps,Odontomachus laticeps,0
Odontomachus_meinerti,Odontomachus meinerti,0
Odontomachus_opaciventris,Odontomachus opaciventris,0
Odontomachus_relictus,Odontomachus relictus,0
Odontomachus_rixosus,Odontomachus rixosus,0
Odontomachus_ruginodis,Odontomachus ruginodis,0
Odontomachus_simillimus,Odontomachus simillimus,0
Odontomachus_troglodytes,Odontomachus troglodytes,0
Odontoponera_transversa,Odontoponera transversa,0
Oecophylla_longinoda,Oecophylla longinoda,1
Oecophylla_smaragdina,Oecophylla smaragdina,1
Onychomyrmex_hedleyi,Onychomyrmex hedleyi,0
Ophthalmopone_berthoudi,Ophthalmopone berthoudi,0
Opisthopsis_haddoni,Opisthopsis haddoni,0
Orectognathus_versicolor,Orectognathus versicolor,0
Oxyepoecus_vezenyii,Oxyepoecus vezenyii,0
Oxyopomyrmex_saulcyi,Oxyopomyrmex saulcyi,0
Pachycondyla_crassinoda,Pachycondyla crassinoda,0
Pachycondyla_harpax,Pachycondyla harpax,0
Pachycondyla_impressa,Pachycondyla impressa,0
Paltothyreus_tarsatus,Paltothyreus tarsatus,0
Papyrius_nitidus,Papyrius nitidus,0
Paraparatrechina_glabra,Paraparatrechina glabra,0
Paraparatrechina_oceanica,Paraparatrechina oceanica,0
Paraponera_clavata,Paraponera clavata,1
Paratrechina_longicornis,Paratrechina longicornis,1
Paratrechina_zanjensis,Paratrechina zanjensis,0
Perissomyrmex_snyderi,Perissomyrmex snyderi,0
Petalomyrmex_phylax,Petalomyrmex phylax,1
Phalacromyrmex_fugax,Phalacromyrmex fugax,0
Pheidole_anastasii,Pheidole anastasii,0
Pheidole_bicarinata,Pheidole bicarinata,0
Pheidole_bilimeki,Pheidole bilimeki,0
Pheidole_clydei,Pheidole clydei,0
Pheidole_dea,Pheidole dea,0
Pheidole_dentata,Pheidole dentata,1
Pheidole_dugasi,Pheidole dugasi,0
Pheidole_fallax,Pheidole fallax,0
Pheidole_fervens,Pheidole fervens,0
Pheidole_hyatti,Pheidole hyatti,0
Pheidole_indica,Pheidole indica,1
Pheidole_knowlesi,Pheidole knowlesi,0
Pheidole_longispinosa,Pheidole longispinosa,0
Pheidole_lucioccipitalis,Pheidole lucioccipitalis,0
Pheidole_megacephala,Pheidole megacephala,1
Pheidole_militicida,Pheidole militicida,0
Pheidole_moerens,Pheidole moerens,0
Pheidole_obtusospinosa,Pheidole obtusospinosa,0
Pheidole_oswaldi,Pheidole oswaldi,0
Pheidole_pallidula,Pheidole pallidula,0
Pheidole_parva,Pheidole parva,0
Pheidole_pilifera,Pheidole pilifera,0
Pheidole_plagiaria,Pheidole plagiaria,0
Pheidole_pubiventris,Pheidole pubiventris,0
Pheidole_pulchella,Pheidole pulchella,0
Pheidole_punctatissima,Pheidole punctatissima,0
Pheidole_rhea,Pheidole rhea,0
Pheidole_roosevelti,Pheidole roosevelti,0
Pheidole_sabahna,Pheidole sabahna,0
Pheidole_sauberi,Pheidole sauberi,0
Pheidole_sexspinosa,Pheidole sexspinosa,0
Pheidole_simonsi,Pheidole simonsi,0
Pheidole_spadonia,Pheidole spadonia,0
