Phy,,Valid,maxlatall,minlatall,midpoint,abs_lat_native
Camponotus_planatus colombicus,,Camponotus.planatus colombicus,12.46390058,3.69750058,8.08070058,8.08070058
Camponotus_planatus continentis,,Camponotus.planatus continentis,27.79410058,8.02560058,17.90985058,17.90985058
Camponotus_planatus esdras,,Camponotus.planatus esdras,22.47220058,17.15000058,19.81110058,19.81110058
Camponotus_planitae,,Camponotus.planitae,37.34050058,18.97640058,28.15845058,28.15845058
Camponotus_planus,,Camponotus.planus,1.68080058,-5.00919942,-1.66419942,1.66419942
Camponotus_planus fernandinensis,,Camponotus.planus fernandinensis,1.68080058,-1.40809942,0.13635058,0.13635058
Camponotus_planus fidelis,,Camponotus.planus fidelis,1.68080058,-1.40809942,0.13635058,0.13635058
Camponotus_planus hephaestus,,Camponotus.planus hephaestus,1.68080058,-1.40809942,0.13635058,0.13635058
Camponotus_planus isabelensis,,Camponotus.planus isabelensis,1.68080058,-1.40809942,0.13635058,0.13635058
Camponotus_planus peregrinus,,Camponotus.planus peregrinus,1.68080058,-5.00919942,-1.66419942,1.66419942
Camponotus_planus pinzonensis,,Camponotus.planus pinzonensis,1.68080058,-1.40809942,0.13635058,0.13635058
Camponotus_planus sansalvadorensis,,Camponotus.planus sansalvadorensis,1.68080058,-1.40809942,0.13635058,0.13635058
Camponotus_planus santacruzensis,,Camponotus.planus santacruzensis,1.68080058,-1.40809942,0.13635058,0.13635058
Camponotus_platypus,,Camponotus.platypus,21.11800058,4.50050058,12.80925058,12.80925058
Camponotus_platytarsus,,Camponotus.platytarsus,8.53520058,1.18550058,4.86035058,4.86035058
Camponotus_plutus,,Camponotus.plutus,5.75550058,2.11220058,3.93385058,3.93385058
Camponotus_poecilus,,Camponotus.poecilus,4.80650058,-8.35499942,-1.77424942,1.77424942
Camponotus_polymorphicus,,Camponotus.polymorphicus,8.15540058,3.69750058,5.92645058,5.92645058
Camponotus_polyrhachioides,,Camponotus.polyrhachioides,13.08520058,-13.45809942,-0.18644942,0.18644942
Camponotus_polyrhachioides cupreus,,Camponotus.polyrhachioides cupreus,3.71300058,-5.01919942,-0.65309942,0.65309942
Camponotus_pompeius,,Camponotus.pompeius,55.05660058,-13.45809942,20.79925058,20.79925058
Camponotus_pompeius cassius,,Camponotus.pompeius cassius,22.23220058,-13.45809942,4.38705058,4.38705058
Camponotus_pompeius iota,,Camponotus.pompeius iota,3.71300058,-5.01919942,-0.65309942,0.65309942
Camponotus_pompeius marius,,Camponotus.pompeius marius,13.08520058,-13.45809942,-0.18644942,0.18644942
Camponotus_postangulatus,,Camponotus.postangulatus,-0.03139942,-18.34859942,-9.18999942,9.18999942
Camponotus_postcornutus,,Camponotus.postcornutus,-25.99919942,-38.07389942,-32.03654942,32.03654942
Camponotus_posteropilus,,Camponotus.posteropilus,1.06970058,-11.15669942,-5.04349942,5.04349942
Camponotus_posticus,,Camponotus.posticus,5.38140058,-13.45809942,-4.03834942,4.03834942
Camponotus_postoculatus,,Camponotus.postoculatus,-22.12389942,-46.96979942,-34.54684942,34.54684942
