bentity2_name,Phy,Genus_name,Ecological.Stratum,Exotic_status,Notes,area_sqkm
Azores Islands,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,2616.793023
Azores Islands,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,2616.793023
Azores Islands,Tetramorium_caldarium,Tetramorium,Arboreal & Epigaeic,Exotic,,2616.793023
Azores Islands,Linepithema_humile,Linepithema,Epigaeic,Exotic,,2616.793023
Azores Islands,Aphaenogaster_senilis,Aphaenogaster,Epigaeic,Exotic,,2616.793023
Azores Islands,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,2616.793023
Bahamas,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Camponotus_planatus,Camponotus,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Strumigenys_rogeri,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,12839.15863
Bahamas,Linepithema_humile,Linepithema,Epigaeic,Exotic,,12839.15863
Bahamas,Cardiocondyla_minutior,Cardiocondyla,Epigaeic,Exotic,,12839.15863
Bahamas,Nylanderia_steinheili,Nylanderia,Epigaeic,Exotic,,12839.15863
Bahamas,Tetramorium_caldarium,Tetramorium,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Monomorium_salomonis,Monomorium,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Strumigenys_lanuginosa,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,12839.15863
Bahamas,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,12839.15863
Bahamas,Anochetus_emarginatus,Anochetus,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Hypoponera_ergatandria,Hypoponera,Epigaeic & Hypogaeic,Exotic,,12839.15863
Bahamas,Nylanderia_guatemalensis,Nylanderia,Epigaeic,Exotic,,12839.15863
Bahamas,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Exotic,,12839.15863
Bahamas,Nylanderia_bourbonica,Nylanderia,Epigaeic,Exotic,,12839.15863
Bahamas,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Wasmannia_auropunctata,Wasmannia,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Strumigenys_emmae,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,12839.15863
Bahamas,Camponotus_sexguttatus,Camponotus,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Strumigenys_membranifera,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,12839.15863
Bahamas,Strumigenys_silvestrii,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,12839.15863
Bahamas,Brachymyrmex_patagonicus,Brachymyrmex,Arboreal & Epigaeic,Exotic,,12839.15863
Bahamas,Solenopsis_invicta,Solenopsis,Epigaeic & Hypogaeic,Exotic,,12839.15863
Bahamas,Tetramorium_lucayanum,Tetramorium,Arboreal & Epigaeic,Exotic,,12839.15863
