Ant domatium-bearing species,Family,References,Geography,Type of domatia,Confidence level,Notes
Absolmsia spartoides (Benth.) Kuntze,Apocynaceae,Wannthorp et al. (2006),Borneo,Tangled roots providing a scaffold for ant nesting,High,
Acacia bullockii Brenan,Fabaceae-Mimosoideae,Hocking (1970),Africa,Swollen stipular thorns,High,
Acacia burttii Baker f.,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,
Acacia bussei Sjostedt,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996),East Africa,Swollen stipular thorns,High,
Acacia cedilloi L. Rico,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia chiapensis Saff.,Fabaceae-Mimosoideae,Heil et al. (2009),Mexico,Swollen stipular thorns,High,
Acacia collinsii Saff.,Fabaceae-Mimosoideae,Heil et al. (2009),Mexico,Swollen stipular thorns,High,
Acacia cornigera (L.) Willd.,Fabaceae-Mimosoideae,Janzen (1966),Neotropics,Swollen stipular thorns,High,
Acacia drepanolobium Sjostedt,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,
Acacia elatior Brenan,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,
Acacia erythrophloea Brenan,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,
Acacia gentlei Standl.,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia globulifera Saff.,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia hindsii Benth.,Fabaceae-Mimosoideae,Heil et al. (2009) ; Heil et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia hirtipes Saff.,Fabaceae-Mimosoideae,"Gomez-Acevedo et al. (2010); confirmed on herbarium specimen, see Eyde E.T & Lux E. 3299 (US)",Neotropics,Swollen stipular thorns,High,https://plants.jstor.org/stable/10.5555/al.ap.specimen.us00000224?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DAcacia%2Bhirtipes
Acacia horrida (L.) Willd.,Fabaceae-Mimosoideae,Hocking (1970); Ward Blog (http://wardlab.wordpress.com/research/pseudomyrmecinae/ant-plants/),India,Swollen stipular thorns,Moderate,
Acacia leucophloea (Roxb.) Willd.,Fabaceae-Mimosoideae,Mani (1964); Jolivet (1996),India,Swollen stipular thorns,High,
Acacia luederitzii Engl.,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,
Acacia malacocephala Harms,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996); Hocking (1970),Africa,Swollen stipular thorns,High,
Acacia mayana Lundell,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia mbuluensis Brenan,Fabaceae-Mimosoideae,Hocking (1970),East Africa,Swollen stipular thorns,High,
Acacia melanoceras Beurl.,Fabaceae-Mimosoideae,Seiber and Erbinger (1995),Neotropics,Swollen stipular thorns,High,
Acacia myrmecophila R.Vig.,Fabaceae-Mimosoideae,Paulian (1949),"Madagascar, South of the Island",Swollen stipular thorns,High,
Acacia pseudofistula Harms,Fabaceae-Mimosoideae,Brown (1960); Hocking (1970),Tropical Africa,Swollen stipular thorns,High,
Acacia seyal Delile,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,
Acacia sphaerocephala Schltdl. & Cham.,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia zanzibarica (S.Moore) Taub.,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996),Africa,Swollen stipular thorns,High,
Aiouea vexatrix van der Werff,Lauraceae,Van der Werff (1988); Jolivet (1996),Panama,Stem domatia - swollen hollow twigs,High,
Alexa cowanii Yakovlev,Fabaceae-Faboideae,McKey (1989),Neotropics,Stem domatia - hollow stem - details unknown,Moderate,
Allomaieta grandiflora Gleason,Melastomataceae,Michelangeli (2010),Neotropics,Leaf domatia,High,
Andira sapindoides (DC.) Benth. (= Pterocarpus sapindoides),Fabaceae - Faboideae,C.R. Huxley-Lambrick pers. comm.,Neotropics,Stem domatia - hollow twigs,Moderate,
Andira sapindoides (DC.) Benth. (= Pterocarpus sapindoides),Fabaceae - Faboideae,C.R. Huxley pers. comm.,Neotropics,Stem domatia - hollow twigs - details unknow ,Moderate,"Hollow twigs housing ants also reported in Andira vermifuga (c.f. Pennington, 2003)"
Andira vermifuga Benth.,Fabaceae - Faboideae,Pennington (2003),Neotropics,Stem domatia - hollow twigs,Moderate,"""Several interesting collections from the northwestern edge of the range are assigned to A. vermifuga. Zarucchi et al. 2810 from Rond?nia appears in all vegetative and fruit characters to be A. verm?fuga, but the notes indicate that the twigs are hollow and house ants. The information given is insufficient to determine whether this is only a casual as sociation. """
Anthorrhiza caerulea C.R.Huxley & Jebb,Rubiaceae,Huxley and Jebb (1991a),Papua New Guinea,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Anthorrhiza camilla Jebb,Rubiaceae,Jebb (1993),Papua New Guinea,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Anthorrhiza chrysacantha C.R.Huxley & Jebb,Rubiaceae,Huxley and Jebb (1991a),Papua New Guinea,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Anthorrhiza echinella C.R.Huxley & Jebb,Rubiaceae,Huxley and Jebb (1991a),Papua New Guinea,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Anthorrhiza mitis C.R.Huxley & Jebb,Rubiaceae,Huxley and Jebb (1991a),Papua New Guinea,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Anthorrhiza recurvispina C.R.Huxley & Jebb,Rubiaceae,Huxley and Jebb (1991a),Papua New Guinea,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Anthorrhiza stevensii C.R.Huxley & Jebb,Rubiaceae,Huxley and Jebb (1991a),Papua New Guinea,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Aphanamixis polystachya (Wall.) R.Parker,Meliaceae,Bequaert (1922); Mabberley (1987; latest edition 2017); Gullan et al. (1993); Jolivet (1996),Papua New Guinea,Stem domatia - hollow twigs,High,
Barteria dewevrei De Wild. & T.Durand,Passifloraceae,Bequaert (1922) ; Peccoud et al. (2013),Tropical Africa,Stem domatia,High,
Barteria fistulosa Mast.,Passifloraceae,"Bequaert (1922); Jolivet (1996), Peccoud et al. (2013)",Tropical Africa,Stem domatia,High,
Barteria nigritana Hook.f.,Passifloraceae,McKey and Davidson (1993),"Tropical Africa, Central forest block",Stem domatia,High,
Belonophora wernhamii Hutch. & Dalziel,Rubiaceae,Cheek and Dawson (2000),"Tropical Africa, Central forest block",Leaf domatia - leaf pockets at the base of petiole,High,"Cheek and Dawson (2000): ""Ferdinand Namata (pers. 1998), senior field biologist at the Korup National Park, reports that ants do indeed inhabit the leaf pockets"""
Bertiera bicarpellata (K.Schum.) N.Hallé (= B. simplicaulis),Rubiaceae,Schnell and Grout de Beaufort (1966); McKey and Davidson (1993),"Tropical Africa, Central forest block",Stipular domatia - persistent stipules,Moderate,
Besleria formicaria Nowicke,Gesneriaceae,Windsor and Jolivet (1996),Panama,Leaf domatia - pouch domatia on the basal part of the leaf blade,High,
Blakea austin-smithii Standl.,Melastomataceae,"Michelangeli (2010), not field-verified but annotated on some herbarium specimens because of leaf pouch domatia",Neotropics,Leaf domatia pouch at the base of the leaf blade,Moderate,
Blakea chlorantha Almeda,Melastomataceae,"Michelangeli (2010), not field verified but annotated on some herbarium specimens because of leaf pouch domatia",Neotropics,Leaf domatia pouch at the base of the leaf blade,Moderate,
Blakea formicaria Wurdack,Melastomataceae,Michelangeli (2010),Neotropics,Leaf domatia - leaf pouch in blade,High,
Blakea involvens Markgr.,Melastomataceae,Michelangeli (2010),Neotropics: Ecuador,Stem domatia - swollen hollow twigs (but not all specimens -- there seem to be lots of intra-specific variation in the group),High,
Blakea jativae Wurdack,Melastomataceae,Michelangeli (2010),Neotropics : Ecuador,Pseudo-stipules up to 6 cm long developing at the nodes where ants nest,High,
Blakea perforate Almeda,Melastomataceae,Michelangeli (2010),Neotropics: Panama,Stem domatia - swollen hollow twigs,High,
Blakea podagrica Triana,Melastomataceae,Michelangeli (2010),Neotropics: Colombia,Stem domatia - swollen hollow twigs,High,
Blakea polyantha Wurdack,Melastomataceae,Michelangeli (2010),Neotropics : Ecuador,Modified inflorescence bracts  where ants nests - open domatia,High,
Blakea punctulata (Triana) Wurdack,Melastomataceae,Michelangeli (2010),"Neotropics: Ecuador, Colombia",Stem domatia - swollen hollow twigs apically (but not all specimens -- there seem to be lots of intra-specific variation in the group),High,
Blakea subconnata O. Berg ex Triana,Melastomataceae,Michelangeli (2010),Neotropics,Stem domatia - swollen hollow twigs (but not all specimens -- there seem to be lots of intra-specific variation in the group),High,
Blakea subvaginata Wurdack,Melastomataceae,Michelangeli (2010),Neotropics: Ecuador (cloud forest),Stem domatia - swollen hollow twigs (but not all specimens -- there seem to be lots of intra-specific variation in the group),High,
Brachystephanus myrmecophilus Champl.,Acanthaceae,Champluvier (1994),"Africa, Zaire",Stem domatia - swollen hollow stem,High,
Buchnerodendron speciosum Gürke,Achariaceae,McKey and Davidson (1993); Jolivet (1996),"Tropical Africa, Central forest block",Stem domatia - hollow branches inhabited by Crematogaster excisa,High,
Calamus javensis Blume,Arecaceae,Moog et al (2003); Jolivet (1996),SE Asia - Malaysia,Leaf sheath domatia - interlocking spine combs forming horizontal galleries around the leaf sheath,High,
Calamus laevigatus Mart.,Arecaceae,Moog et al (2003),SE Asia - Malaysia,Leaf sheath domatia - interlocking spine combs forming horizontal galleries around the leaf sheath,High,
Calamus polystachys Becc.,Arecaceae,Moog et al (2003),SE Asia - Malaysia,Leaf sheath domatia - interlocking spine combs forming horizontal galleries around the leaf sheath,High,
Callerya nieuwenhuisii (J.J.Sm.) Schot,Fabaceae,Maschwitz et al. (1989); Agosti et al. (1999),"SE Asia, Sabah",Stem domatia - (liana stem),Moderate,Inhabited by obligate plant-ant Cladomyrma andrei; detailed morphology of plants not recorded
Callicarpa saccata Steenis,Lamiaceae,Van Stenis (1969); Bramley (2009),SE Asia,Leaf domatia - pouches at the base of the lamina,High,
Caloncoba welwitschii (Oliv.) Gilg,Achariaceae,Jolivet (1996),Africa,Stem domatia - apparently boring by insects,Moderate,
Calpocalyx cauliflorus Hoyle,Fabaceae - Mimosoideae,McKey and Davidson (1993),"Tropical Africa, Central forest block","Stem domatia - pithy stems, hollowed by ants - transitional state",Moderate,
Caularthron amazonicum (Schltr.) H.G.Jones,Orchidaceae,Gegenbauer et al. (2012),South America,Stem domatia (swollen pseudobulb),High,
Caularthron bicornutum (Hook.) Raf.,Orchidaceae,Gegenbauer et al. (2012),South America,Stem domatia (swollen pseudobulb),High,
Caularthron bilamellatum (Rchb.f.) R.E.Schult.,Orchidaceae,Gegenbauer et al. (2012),South America,Stem domatia (swollen pseudobulb),High,
Caularthron kraenzlinianum H.G.Jones,Orchidaceae,Gegenbauer et al. (2012),South America,Stem domatia (swollen pseudobulb),High,
Cecropia albicans Trécul,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia angulata I.W.Bailey,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia annulata C.C.Berg & P.Franco,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia concolor Willd.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia distachya Huber,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia elongate Rusby,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia engleriana Snethl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia ficifolia Warb. ex Snethl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia garciae Standl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia glaziovii Snethl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia goudotiana Trécul,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia granvilleana C.C.Berg,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia herthae Diels,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia heterochroma C.C.Berg & P.Franco,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia idroboi Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia insignis Liebm.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia kavanayensis Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia latiloba Miq.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia litoralis Snethl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia longipes Pittier,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia marginalis Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia maxima Snethl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia megastachya Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia membranacea Trécul,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia metensis Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia montana Warb. ex Snethl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia multisecta P.Franco & C.C.Berg,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia mutisiana Mildbr.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia obtusa Trécul,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia obtusifolia Bertol.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia pachystachya Trécul,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia palmate Willd.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia pastasana Diels,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia peltata L.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia plicata Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia polystachya Trécul,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia purpurascens C.C. Berg,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia putumayonis Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia reticulatea Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia sararensis Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia saxatilis Snethl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia silvae C.C.Berg,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia strigosa Trécul,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia subintegra Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia ulei Snethl.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia utcubambana Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Cecropia virgusa Cuatrec.,Urticaceae,Berg et al. (2005),Neotropics,Stem domatia (trunk),High,
Chisocheton lasiocarpus (Miq.) Valeton,Meliaceae,Schumann and Lauterbach (1901); Bequaert (1922); Stevens (1975); Mabberley (1979); Plowman et al. (2017),"SE Asia: Indonesia, New Guinea and Solomons","Stem domatia (unspecialized but consistently inhabited by ants, see Plowman et al. (2017)",High,
Chisocheton tomentosus (Roxb.) Mabb.,Meliaceae,"Moog et al. (2003); Pannell (1992) mentioned that all the trees of Chisocheton tomentosus (Roxb.) Mabberley which he examined at Kuala Lompat,Krau Game Reserve, had hollowed twigs and petioles in which there were colonies of 'black ants' with larvae. In New Guinea- a number of Chisocheton species are regularly ant-inhabited (Stevens 1978)",Malaysia,"Stem domatia (unpecialized; early evolutionary stage but Stevens (1978) makes clear that several Chisocheton form consistent symbioses with ants, at least in New Guinea.",High,
Clerodendrum breviflorum Ridl.,Lamiaceae,Ridley (1910); Moog et al (2003); Maschwitz et al. (1994),SE Asia - Malaysia,"Stem domatia, but not self-opening",Moderate,
Clerodendrum capitatum (Willd.) Schumach. & Thonn.,Lamiaceae,Schnell (1966),Tropical Africa,Stem domatia,High,
Clerodendrum deflexum Wall.,Lamiaceae,Moog et al (2003); Maschwitz et al. (1994),SE Asia - Malaysia,Stem domatia,Moderate,
Clerodendrum excavatum De Wild.,Lamiaceae,Bequaert (1922); Jolivet (1996),Tropical Africa,Stem domatia,High,
Clerodendrum fistulosum Becc.,Lamiaceae,Blatter (1928); Uphof (1942); Maschwitz et al. (1994),SE Asia,"Stem domatia, self-opening",High,
Clerodendrum formicarum Gürke,Lamiaceae,Jolivet (1996),Tropical Africa,Stem domatia,High,
Clerodendrum phyllomega var. myrmecophila (Ridl.) Moldenke,Lamiaceae,Moog et al (2003); Maschwitz et al. (1994),SE Asia - Malaysia,Stem domatia,High,
Clerodendrum poggei Gürke (= C. angolense),Lamiaceae,Jolivet (1996),Tropical Africa,Stem domatia,High,
