Species,fixerCH,fixer,num_introduced,total_area_introduced,total_area_native,lat_native,abs_lat_native,annual,uses_num_uses,mah_state,soud_state,ConsensusTOTAL
Lathyrus_sativus,TRUE,2,36,5.41E+13,1.07E+12,-6.77941557,6.77941557,1,7,AM,AM,AM
Lathyrus_sylvestris,TRUE,2,5,3.16E+12,1.73E+13,48.14780215,48.14780215,0,4,AM,NA,AM
Lathyrus_tuberosus,TRUE,2,9,1.62E+12,2.67E+13,47.50736618,47.50736618,0,5,AM,AM,AM
Lathyrus_vernus,TRUE,2,2,2.98E+11,2.23E+13,47.59715532,47.59715532,0,3,AM,AM,AM
Lens_culinaris,TRUE,2,43,2.78E+13,1.65E+13,20.36272679,20.36272679,0,4,AM,AM,AM
Lespedeza_bicolor,TRUE,2,9,8.25E+12,1.54E+13,39.58768972,39.58768972,0,3,AM,AM,AM
Lespedeza_buergeri,TRUE,2,0,0,2.49E+12,31.50999674,31.50999674,0,2,NA,AM,AM
Lespedeza_capitata,TRUE,2,0,0,1.73E+13,53.69834215,53.69834215,0,0,AM,AM,AM
Lespedeza_cyrtobotrya,TRUE,2,2,8.17E+12,3.08E+12,33.79614164,33.79614164,0,3,NA,AM,AM
Lespedeza_juncea,TRUE,2,6,1.09E+13,3.14E+13,22.49597644,22.49597644,0,4,NA,AM,AM
Leucaena_diversifolia,TRUE,2,5,2.49E+12,2.37E+12,19.32307644,19.32307644,0,2,AM,NA,AM
Leucaena_leucocephala,TRUE,2,73,5.54E+13,2.10E+12,21.01115209,21.01115209,0,9,AM,AM,AM
Leucaena_retusa,TRUE,2,1,1.12E+11,1.07E+12,25.78519056,25.78519056,0,0,AM,NA,AM
Leucaena_trichodes,TRUE,2,0,0,3.71E+12,5.67378507,5.67378507,0,3,AM,NA,AM
Lonchocarpus_muehlbergianus,TRUE,2,0,0,1.19E+11,-28.28926893,28.28926893,0,0,NA,AM,AM
Lotus_corniculatus,TRUE,2,9,2.11E+13,5.04E+13,37.14945239,37.14945239,0,3,AMNM,AM,AM
Lotus_halophilus,TRUE,2,0,0,5.82E+12,36.74453944,36.74453944,1,0,NA,AM,AM
Lotus_ornithopodioides,TRUE,2,1,7.94E+12,9.03E+12,39.13045918,39.13045918,1,1,NA,non-mycorrhizal (checked for all types),NM
Lotus_pedunculatus,TRUE,2,15,2.50E+13,1.09E+13,44.99702249,44.99702249,0,2,AM,AM,AM
Lupinus_albus,TRUE,2,23,3.77E+13,1.31E+12,39.45133558,39.45133558,1,6,NM,NA,NM
Lupinus_angustifolius,TRUE,2,23,3.15E+13,8.20E+12,37.55619092,37.55619092,1,8,AMNM,NA,AM
Lupinus_arcticus,TRUE,2,0,0,2.16E+13,56.485098,56.485098,0,0,NM,non-mycorrhizal (checked for all types),NM
Lupinus_argenteus,TRUE,2,0,0,3.65E+12,41.40478753,41.40478753,0,0,NA,AM,AM
Lupinus_luteus,TRUE,2,21,3.32E+13,7.18E+11,23.59231907,23.59231907,1,5,AMNM,AM,AM
Lupinus_mutabilis,TRUE,2,5,7.12E+12,3.89E+12,-7.15188118,7.15188118,0,3,AM,AM,AM
Lupinus_polyphyllus,TRUE,2,13,3.01E+13,6.85E+12,48.85857516,48.85857516,0,3,AMNM,AM,AM
Maackia_amurensis,TRUE,2,6,1.45E+13,8.96E+12,46.95941412,46.95941412,0,3,AMNM,AM,AM
Macrolobium_acaciifolium,FALSE,1,0,0,7.42E+12,-2.42186215,2.42186215,0,0,NA,AM,AM
Macrolobium_bifolium,FALSE,1,0,0,4.06E+12,-7.14890211,7.14890211,0,0,AM,AM,AM
Macroptilium_atropurpureum,TRUE,2,22,1.28E+13,1.06E+13,9.75409644,9.75409644,0,4,AM,AM,AM
Macroptilium_lathyroides,TRUE,2,28,2.04E+13,5.39E+12,6.47875062,6.47875062,0,3,NA,AM,AM
Macrotyloma_uniflorum,TRUE,2,2,2.27E+12,3.34E+13,12.96417812,12.96417812,0,4,AM,AM,AM
