valid_species_name,Phy_all_underscore,total.area.native,LogArea.native,Phy
Camponotus.braunsi,Camponotus_braunsi,6242634.459,6.795367905,Camponotus_braunsi
Camponotus.brettesi,Camponotus_brettesi,1705106.937,6.231751621,Camponotus_brettesi
Camponotus.brevicollis,Camponotus_brevicollis,962732.8072,5.983505772,Camponotus_brevicollis
Camponotus.brevis,Camponotus_brevis,584645.2519,5.766892427,Camponotus_brevis
Camponotus.breviscapus,Camponotus_breviscapus,1648593.909,6.217113691,Camponotus_breviscapus
Camponotus.brevisetosus,Camponotus_brevisetosus,1237458.591,6.092530675,Camponotus_brevisetosus
Camponotus.brookei,Camponotus_brookei,2361902.447,6.373261956,Camponotus_brookei
Camponotus.bruchi,Camponotus_bruchi,2709702.963,6.432921686,Camponotus_bruchi
Camponotus.brullei,Camponotus_brullei,410935.3111,5.613773461,Camponotus_brullei
Camponotus.bruneiensis,Camponotus_bruneiensis,737781.7092,5.867927884,Camponotus_bruneiensis
Camponotus.brunni,Camponotus_brunni,32858.47268,4.516647373,Camponotus_brunni
Camponotus.brutus,Camponotus_brutus,10555937.64,7.023496816,Camponotus_brutus
Camponotus.buchholzi,Camponotus_buchholzi,464295.6281,5.666794594,Camponotus_buchholzi
Camponotus.buchneri,Camponotus_buchneri,4643191.47,6.666816593,Camponotus_buchneri
Camponotus.buddhae,Camponotus_buddhae,5655456.135,6.752467638,Camponotus_buddhae
Camponotus.bugnioni,Camponotus_bugnioni,190662.712,5.280265766,Camponotus_bugnioni
Camponotus.burgeoni,Camponotus_burgeoni,2326848.226,6.366768056,Camponotus_burgeoni
Camponotus.burtoni,Camponotus_burtoni,4954423.085,6.694993091,Camponotus_burtoni
Camponotus.butteli,Camponotus_butteli,593087.2472,5.773118586,Camponotus_butteli
Camponotus.buttikeri,Camponotus_buttikeri,1609941.122,6.206809994,Camponotus_buttikeri
Camponotus.cacicus,Camponotus_cacicus,3918456.85,6.593115069,Camponotus_cacicus
Camponotus.caesar,Camponotus_caesar,3574479.436,6.553212803,Camponotus_caesar
Camponotus.caffer,Camponotus_caffer,1220325.69,6.086475754,Camponotus_caffer
Camponotus.callistus,Camponotus_callistus,3472792.254,6.540678804,Camponotus_callistus
Camponotus.callmorphus,Camponotus_callmorphus,824684.0347,5.916287587,Camponotus_callmorphus
Camponotus.camelinus,Camponotus_camelinus,3403134.886,6.531879163,Camponotus_camelinus
Camponotus.cameranoi,Camponotus_cameranoi,10422864.19,7.017987079,Camponotus_cameranoi
Camponotus.cameratus,Camponotus_cameratus,804893.7533,5.905738557,Camponotus_cameratus
Camponotus.cameroni,Camponotus_cameroni,2619533.695,6.418223989,Camponotus_cameroni
Camponotus.candiotes,Camponotus_candiotes,1146814.74,6.059493266,Camponotus_candiotes
Camponotus.canescens,Camponotus_canescens,4228684.471,6.626205281,Camponotus_canescens
Camponotus.capito,Camponotus_capito,7622563.684,6.882101061,Camponotus_capito
