Phy,Counts
Bauhinia cunninghamii,1694
Bauhinia cupreonitens,1531
Bauhinia diphylla,1598
Bauhinia divaricata,2277
Bauhinia forficata,1538
Bauhinia galpinii,1545
Bauhinia glauca,4072
Bauhinia guianensis,2798
Bauhinia integrifolia,2217
Bauhinia kockiana,1525
Bauhinia kunthiana,1551
Bauhinia longicuspis,1570
Bauhinia longifolia,3382
Bauhinia malabarica,1769
Bauhinia microstachya,1539
Bauhinia monandra,1538
Bauhinia multinervia,1554
Bauhinia ornata,2426
Bauhinia pauletia,1524
Bauhinia pentandra,2031
Bauhinia petersiana,1553
Bauhinia picta,2574
Bauhinia pottsii,1537
Bauhinia pulchella,2102
Bauhinia purpurea,4921
Bauhinia racemosa,3377
Bauhinia reticulata,5424
Bauhinia rufa,2775
Bauhinia rufescens,2472
Bauhinia scandens,2199
Bauhinia tomentosa,3670
Bauhinia ungulata,1579
Bauhinia vahlii,1546
Bauhinia variegata,2695
Bergeronia sericea,832
Berlinia bracteosa,190
Berlinia craibiana,42
Berlinia grandiflora,1894
Bituminaria acaulis,320
Bituminaria bituminosa,111
Bobgunnia madagascariensis,934
Bocoa mollis,1060
Bolusanthus speciosus,518
Bolusia amboensis,10
Bolusia rhodesiana,7
Bossiaea aquifolium,286
Bossiaea bossiaeoides,32
Bossiaea buxifolia,260
Bossiaea cinerea,6273
Bossiaea dentata,935
Bossiaea ensata,101
Bossiaea eriocarpa,76
Bossiaea foliosa,218
Bossiaea heterophylla,946
Bossiaea linophylla,34
Bossiaea ornata,934
Bossiaea preissii,93
Bossiaea prostrata,506
Bossiaea pulchella,616
Bossiaea walkeri,281
Bossiaea webbii,48
Bowdichia nitida,995
Bowdichia virgilioides,91
Brachysema aphyllum,86
Brachysema sericeum,57
Brachystegia allenii,215
Brachystegia boehmii,175
Brachystegia bussei,667
Brachystegia cynometroides,168
Brachystegia floribunda,948
Brachystegia glaberrima,624
Brachystegia glaucescens,611
Brachystegia laurentii,547
Brachystegia manga,5027
Brachystegia microphylla,859
Brachystegia taxifolia,442
Brachystegia utilis,1514
Brachystegia wangermeeana,166
Brodriguesia santosii,20
Brownea ariza,8081
Brownea longipedicellata,111
Brya ebenus,166
Brya microphylla,797
Bryaspis lupulina,157
Butea monosperma,525
Cadia ellisiana,126
Cadia purpurea,3648
Caesalpinia angolensis,2271
Caesalpinia benthamiana,3565
Caesalpinia bonduc,1767
Caesalpinia cacalaco,1756
Caesalpinia crista,3132
Caesalpinia cucullata,2092
Caesalpinia decapetala,1762
Caesalpinia echinata,2204
Caesalpinia eriostachys,1758
Caesalpinia exostemma,1758
Caesalpinia ferrea,2173
Caesalpinia gilliesii,1789
Caesalpinia latisiliqua,1757
Caesalpinia leiostachya,1759
Caesalpinia mexicana,38938
Caesalpinia paraguariensis,2637
Caesalpinia pluviosa,1778
Caesalpinia pyramidalis,2034
Caesalpinia sappan,1859
Caesalpinia spinosa,4762
Cajanus acutifolius,2271
Cajanus cajan,2133
Cajanus goensis,2077
Cajanus heynei,2091
Cajanus lineatus,2997
Cajanus mollis,3122
Cajanus platycarpus,2074
Cajanus scarabaeoides,2107
Cajanus sericeus,2284
Calicotome infesta,48
Calicotome spinosa,3136
Callerya atropurpurea,296
Callerya cinerea,6286
Callerya megasperma,397
Callerya reticulata,3947
Callerya speciosa,2331
Calliandra bella,18580
Calliandra brevipes,819
Calliandra coriacea,1382
Calliandra cruegeri,494
Calliandra dysantha,487
Calliandra eriophylla,492
Calliandra erubescens,588
Calliandra foliolosa,533
Calliandra guildingii,505
Calliandra haematocephala,488
Calliandra haematomma,523
Calliandra harrisii,825
Calliandra houstoniana,487
Calliandra humilis,1423
Calliandra juzepczukii,497
Calliandra macrocalyx,585
Calliandra parviflora,1694
Calliandra parvifolia,827
Calliandra physocalyx,489
Calliandra pittieri,584
Calliandra rubescens,1042
Calliandra surinamensis,1053
Calliandra tergemina,504
Calliandra trinervia,596
Calophaca tianschanica,67
Calopogonium caeruleum,275
Calpocalyx dinklagei,59
Calpurnia aurea,4230
Calpurnia villosa,1374
Campsiandra comosa,293
Camptosema coriaceum,120
Camptosema pedicellatum,99
Camptosema rubicundum,30
Campylotropis macrocarpa,1158
